,LET,IN,END,TYPE,ID,INT,FLOAT,INTLIT,FLOATLIT,ARRAY,LBRACK,RBRACK,SEMI,OF,VAR,COLON,COMMA,ASSIGN,FUNC,LPAREN,RPAREN,BEGIN,IF,THEN,WHILE,DO,ENDDO,FOR,TO,BREAK,RETURN,ENDIF,ELSE,OR,AND,GREATER,LESSER,GREATEREQ,LESSEREQ,EQ,NEQ,PLUS,MINUS,MULT,DIV,$
tiger-program,1,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,
declaration-segment,  ,  ,  ,2,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,2,  ,  ,  ,2,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,
type-declaration-list,  ,3,  ,4,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,3,  ,  ,  ,3,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,
var-declaration-list,  ,5,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,6,  ,  ,  ,5,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,
funct-declaration-list,  ,7,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,8,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,
type-declaration,  ,  ,  ,9,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,
type,  ,  ,  ,  ,12,10,10,  ,  ,11,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,
type-id,  ,  ,  ,  ,  ,13,14,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,
var-declaration,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,15,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,
id-list,  ,  ,  ,  ,16,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,
id-list-tail,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,18,17,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,
optional-init,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,19,  ,  ,  ,  ,20,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,
const,  ,  ,  ,  ,  ,  ,  ,21,22,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,
funct-declaration,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,23,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,
param-list,  ,  ,  ,  ,25,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,24,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,
param-list-tail,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,27,  ,  ,  ,26,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,
ret-type,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,29,  ,  ,  ,  ,  ,28,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,
param,  ,  ,  ,  ,30,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,
stat-seq,  ,  ,  ,  ,31,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,31,  ,31,  ,  ,31,  ,31,31,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,
stat-seq-tail,  ,  ,33,  ,32,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,32,  ,32,  ,33,32,  ,32,32,33,33,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,
stat,  ,  ,  ,  ,39,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,34,  ,35,  ,  ,36,  ,37,38,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,
stat-id-tail,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,41,  ,  ,  ,  ,  ,  ,40,  ,42,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,
stat-assign-tail,  ,  ,  ,  ,45,  ,  ,44,44,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,43,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,
stat-assign-id-tail,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,47,  ,47,  ,  ,  ,  ,  ,  ,46,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,47,47,47,47,47,47,47,47,47,47,47,47,
stat-if-tail,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,48,49,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,
expr,  ,  ,  ,  ,50,  ,  ,50,50,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,50,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,
term0,  ,  ,  ,  ,51,  ,  ,51,51,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,51,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,
term0',  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,53,53,  ,  ,  ,53,  ,  ,  ,53,  ,  ,53,  ,53,  ,  ,53,  ,  ,  ,  ,52,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,
term1,  ,  ,  ,  ,54,  ,  ,54,54,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,54,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,
term1',  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,56,56,  ,  ,  ,56,  ,  ,  ,56,  ,  ,56,  ,56,  ,  ,56,  ,  ,  ,  ,56,55,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,
term2,  ,  ,  ,  ,57,  ,  ,57,57,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,57,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,
term2',  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,62,62,  ,  ,  ,62,  ,  ,  ,62,  ,  ,62,  ,62,  ,  ,62,  ,  ,  ,  ,62,62,58,59,60,61,  ,  ,  ,  ,  ,  ,
term3,  ,  ,  ,  ,63,  ,  ,63,63,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,63,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,
term3',  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,66,66,  ,  ,  ,66,  ,  ,  ,66,  ,  ,66,  ,66,  ,  ,66,  ,  ,  ,  ,66,66,66,66,66,66,64,65,  ,  ,  ,  ,
term4,  ,  ,  ,  ,67,  ,  ,67,67,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,67,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,
term4',  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,70,70,  ,  ,  ,70,  ,  ,  ,70,  ,  ,70,  ,70,  ,  ,70,  ,  ,  ,  ,70,70,70,70,70,70,70,70,68,69,  ,  ,
term5,  ,  ,  ,  ,71,  ,  ,71,71,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,71,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,
term5',  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,74,74,  ,  ,  ,74,  ,  ,  ,74,  ,  ,74,  ,74,  ,  ,74,  ,  ,  ,  ,74,74,74,74,74,74,74,74,74,74,72,73,
term6,  ,  ,  ,  ,77,  ,  ,76,76,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,75,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,
opt-index,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,78,79,79,  ,  ,  ,79,  ,  ,  ,79,  ,  ,79,  ,79,  ,  ,79,  ,  ,  ,  ,79,79,79,79,79,79,79,79,79,79,79,79,
expr-list,  ,  ,  ,  ,81,  ,  ,81,81,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,81,80,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,
expr-list-tail,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,82,  ,  ,  ,83,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,